Player Name,Player ID,Wickets Taken,WicketValues,Num_Bowl_Innings,WicketValue_AVG,Wickets_AVG,WicketValues_normed,WicketValue_AVG_normed,Bowling_Combined_Score
mohammad ismail,202.0,11,10.505912121212123,5,2.101182424242425,2.2,0.23394381120255425,1.0,54.036628672153256
khushdil shah,114.0,16,19.8323048989899,16,1.2395190561868688,1.0,0.5967878306100083,0.4279415114238856,52.92493029355592
mir hamza,59.0,13,16.316162720780902,11,1.4832875200709912,1.1818181818181819,0.45999205209751204,0.596830021246493,51.472723975710444
muhammad imran jr,438.0,16,17.647553030303033,13,1.3575040792540796,1.2307692307692308,0.5117898932154851,0.5096843029634809,51.09476571146834
hussain talat,9.0,18,17.99076271043771,14,1.2850544793169794,1.2857142857142858,0.5251424918896839,0.4594895206866505,49.888130340847056
salman irshad,73.0,11,14.180239402572736,9,1.5755821558414151,1.2222222222222223,0.3768937931681449,0.6607739098509553,49.0445839841269
qasim akram,54.0,11,14.690833055555558,11,1.335530277777778,1.0,0.39675847801968356,0.494460337864228,43.583922195750134
ahmed daniyal,135.0,10,12.660884090909093,9,1.4067648989898993,1.1111111111111112,0.3177831593649374,0.5438133543808024,40.819523737128335
muhammad salman,134.0,9,9.840598989898993,6,1.640099831649832,1.5,0.20805975329482634,0.7054732690333688,40.70251595902433
sharoon siraj,118.0,9,9.720126893939394,6,1.620021148989899,1.5,0.20337277725103625,0.6915622867036403,39.86485810320779
naseem shah,435.0,9,13.063986969696971,11,1.187635179063361,0.8181818181818182,0.3334659074819388,0.3919951443196737,35.68776022170327
asif afridi,258.0,7,10.608854545454545,8,1.326106818181818,0.875,0.23794879403671787,0.4879315440113375,33.79418940265657
m. amir khan,12.0,10,9.471711111111112,7,1.3531015873015875,1.4285714285714286,0.19370814235163197,0.5066341532701397,31.887854671903508
muhammad rameez jr,444.0,7,9.2612,8,1.15765,0.875,0.18551819158444105,0.37122070890631204,25.979919851318947
