Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Asif Afridi,236,PSL X,21,1,4,1,111,3,69,DNP,DNP,DNP,DNB,DNB,DNB,DNB,5,NO,DNB,DNB,DNB,DNB,0,NO
Hassan Raza,232,National T20,28,1,4,1,137,6,120,143,2,87,39,42,1,yes,1,,,,,,DNB,
Hassan Raza,232,National T20,11,1,4,3,149,10,120,154,6,103,33,30,1,yes,1,,,,,,DNB,
Hassan Raza,232,National T20,17,1,4,2,164,8,120,168,5,110,12,13,1,yes,1,,,,,,DNB,
Awais Akram Minhas,233,National T20,11,1,4,3,149,10,120,154,6,103,12,10,6,yes,6,no,DNB,DNB,DNB,DNB,DNB,no
Samiullah Jr.,234,National T20,18,1,3,1,107,10,109,110,3,86,11,15,4,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Qazi Mehmood Arqban,235,National T20,17,1,4,2,164,8,120,168,5,110,9,11,4,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Awais Akram Minhas,233,National T20,28,1,4,1,137,6,120,143,2,87,7,11,3,yes,4,no,DNB,DNB,DNB,DNB,DNB,no
Asif Afridi,236,PSL X,24,1,4,3,160,8,90,168,6,87,6,2,11,NO,0,NO,12,26,1,0,2,NO
Asif Afridi,236,PSL X,14,1,4,5,129,10,116,133,3,100,6,11,10,NO,0,NO,18,19,0,0,0,NO
Usman Salahudin,237,PSL X,17,2,5,1,114,10,92,178,7,120,5,4,1,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Asif Afridi,236,PSL X,12,2,4,6,195,9,120,228,5,120,4,7,9,YES,2,NO,24,26,1,0,2,NO
Samiullah Jr.,234,National T20,11,2,3,4,149,10,120,154,6,103,4,9,4,yes,4,no,DNB,DNB,DNB,DNB,DNB,no
Azaz Khan,238,National T20,11,2,3,4,149,10,120,154,6,103,4,5,7,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Qazi Mehmood Arqban,235,National T20,11,1,4,3,149,10,120,154,6,103,4,8,7,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Azaz Khan,238,National T20,18,1,3,1,107,10,109,110,3,86,4,11,5,yes,4,no,DNB,DNB,DNB,DNB,DNB,no
Awais Akram Minhas,233,National T20,17,1,4,2,164,8,120,168,5,110,3,14,6,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Asif Afridi,236,PSL X,1,1,4,2,139,10,116,143,2,104,2,3,11,NO,0,NO,24,15,1,0,2,NO
Azaz Khan,238,National T20,27,2,3,2,93,10,103,167,7,120,1,3,7,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Samiullah Jr.,234,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Samiullah Jr.,234,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Usama Ahmed,239,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Usama Ahmed,239,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Usama Ahmed,239,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Azaz Khan,238,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Azaz Khan,238,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Saeedullah,240,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Saeedullah,240,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Saeedullah,240,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Asif Afridi,236,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Asif Afridi,236,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Jamshed Ali,241,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Jamshed Ali,241,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Jamshed Ali,241,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Arshadullah,242,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Arshadullah,242,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Arshadullah,242,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Awais Akram Minhas,233,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Awais Akram Minhas,233,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Hassan Raza,232,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Hassan Raza,232,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Abdul Rehman Muzamil,243,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Abdul Rehman Muzamil,243,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Abdul Rehman Muzamil,243,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Usman Salahudin,237,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Usman Salahudin,237,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,DNB,DNB,DNB,DNB,DNB,no
Usman Salahudin,237,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Husnain Shamir,244,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Husnain Shamir,244,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Husnain Shamir,244,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Qazi Mehmood Arqban,235,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Rohan Qadri,250,National T20,17,1,4,2,164,8,120,168,5,110,DNB,DNB,DNB,DNB,5,no,6,7,1,0,5,no
Saad Asif,246,National T20,28,1,4,1,137,6,120,143,2,87,DNB,DNB,DNB,DNB,5,no,18,27,1,0,3,no
Rohan Qadri,250,National T20,28,1,4,1,137,6,120,143,2,87,DNB,DNB,DNB,DNB,5,no,15,28,0,0,0,no
Usman Mahroof,245,National T20,17,1,4,2,164,8,120,168,5,110,40,22,3,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Saad Asif,246,National T20,17,1,4,2,164,8,120,168,5,110,14,11,7,yes,2,no,18,32,0,0,0,no
Saad Asif,246,National T20,11,1,4,3,149,10,120,154,6,103,10,7,10,yes,4,no,24,27,2,0,"2,6",no
Usman Mahroof,245,National T20,28,1,4,1,137,6,120,143,2,87,9,8,4,yes,6,no,DNB,DNB,DNB,DNB,DNB,no
Muhammad Haider,247,National T20,11,1,4,3,149,10,120,154,6,103,5,11,5,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Nadeem Khalil,248,National T20,11,1,4,3,149,10,120,154,6,103,5,14,4,yes,4,no,12,24,1,0,1,no
