Player Name,Player ID,Runs Made,RunValues,Dismissed,Num_Bat_Innings,RunValue_AVG,Run_AVG,RunValues_normed,RunValue_AVG_normed,Batting_Combined_Score
muhammad musa khan,125.0,54.0,56.43975341651813,1.0,5,56.43975341651813,54.0,0.05,1.0,43.0
mirza tahir baig,63.0,283.0,256.89812964147393,8.0,9,32.11226620518424,35.375,0.36387847298837295,0.5251210407529302,42.83755000941959
muhammad nawaz,430.0,268.0,300.1043517144133,11.0,15,27.282213792219395,24.363636363636363,0.43495011386400234,0.41484403485718563,42.69076822612757
khawaja nafay,418.0,292.0,303.59481481670997,13.0,14,23.353447293593074,22.46153846153846,0.4406917160729914,0.3251446756599479,39.4472899907774
qasim akram,54.0,201.0,243.1594717864924,9.0,10,27.017719087388045,22.333333333333332,0.34127920579176374,0.40880524239071303,36.82896204313434
shadab khan,90.0,197.0,266.5076441639169,11.0,12,24.22796765126517,17.90909090909091,0.3796855473485254,0.34511122641208697,36.585581897395
mubasir khan,91.0,238.0,249.42878559346022,10.0,11,24.94287855934602,23.8,0.35159185054633735,0.3614336651114572,35.55285763723853
saim ayub,75.0,174.0,248.35654690846016,10.0,10,24.835654690846017,17.4,0.3498280822949815,0.35898559081168346,35.34910857016623
saad masood,431.0,163.0,181.509820713769,6.0,12,30.251636785628165,27.166666666666668,0.2398692316970216,0.48264020950575287,33.697762282051414
danish aziz,95.0,183.0,179.25713234586763,6.0,11,29.876188724311273,30.5,0.23616369460058412,0.4740681931938275,33.13254940378815
abdul samad,424.0,176.0,227.26428305785123,10.0,13,22.726428305785124,17.6,0.31513257480270807,0.3108289352283038,31.34111189729464
m faizan,419.0,226.0,226.9642023809524,10.0,10,22.69642023809524,22.6,0.3146389601083646,0.3101438081169137,31.284089931178425
muhammad awais zafar,129.0,186.0,168.69437361853835,6.0,9,28.115728936423057,31.0,0.21878859076351784,0.4338743779285804,30.482290562954287
irfan khan niazi,130.0,165.0,194.17890672963398,8.0,10,24.272363341204247,20.625,0.2607091174436154,0.34612484352067485,29.48754078744392
muhammad taha,121.0,212.0,189.9659732991467,8.0,10,23.745746662393337,26.5,0.2537790949274358,0.33410143142722704,28.590802952735228
muhammad shahzad,420.0,246.0,229.46270883887354,12.0,13,19.12189240323946,20.5,0.3187488532020732,0.22853222434593598,28.266220165961833
rohail nazir,124.0,198.0,187.03949444630456,9.0,10,20.782166049589396,22.0,0.2489652129428411,0.26643864668529404,25.595458643982226
shoaib malik,16.0,211.0,196.06594175521448,10.0,12,19.606594175521447,21.1,0.26381317674857807,0.23959865916476814,25.41273697150541
shahzaib khan,126.0,207.0,183.50295716673372,9.0,10,20.389217462970414,23.0,0.24314782147888445,0.25746706834651856,24.88755202259381
abdul wahid,78.0,179.0,172.13830849712437,8.0,8,21.517288562140546,22.375,0.2244536568384159,0.2832225452270774,24.79612121938805
asif ali,55.0,138.0,158.46984935064938,7.0,11,22.638549907235625,19.714285714285715,0.2019698623020288,0.3088225456808655,24.471093565356348
muhammad imran,433.0,136.0,141.87282492584816,6.0,7,23.645470820974694,22.666666666666668,0.17466875373641072,0.33181199052475524,23.75260484517485
waqar ahmad,64.0,169.0,152.00881564640076,7.0,7,21.715545092342968,24.142857142857142,0.19134184982876754,0.2877490254141903,22.990472006293665
muhammad akhlaq,50.0,183.0,160.63719164457476,8.0,8,20.079648955571844,22.875,0.20553501023161141,0.250399176490129,22.348067673501845
abbas afridi,57.0,93.0,152.28349090909092,8.0,10,19.035436363636364,11.625,0.19179367414227447,0.22655830928790432,20.56995282005264
m. mohsin,17.0,173.0,139.72250951069134,8.0,9,17.465313688836417,21.625,0.17113161399997742,0.19071016258846268,17.896303343537152
taimoor khan,10.0,82.0,87.65765740740743,4.0,7,21.914414351851857,20.5,0.08548805866480916,0.2922894950878687,16.820863323403298
muhammad hurraira,49.0,138.0,122.08853367289191,7.0,7,17.441219096127416,19.714285714285715,0.14212478262652692,0.19016004857001145,16.133888900392073
shamyl hussain,6.0,144.0,118.21764646464646,7.0,7,16.88823520923521,20.571428571428573,0.13575740560684546,0.17753463539822534,15.246829752339742
zain abbas,413.0,113.0,95.80761775532551,5.0,5,19.161523551065102,22.6,0.09889425405074255,0.2294370601424777,15.11113764874366
shahid aziz,115.0,114.0,141.6867886002886,10.0,11,14.168678860028859,11.4,0.1743627351519191,0.11544327366678055,15.079495055786367
muhammad amir barki,138.0,84.0,77.39509090909091,4.0,7,19.348772727272728,21.0,0.0686067530186153,0.2337122266920569,13.464894248799194
saad baig,88.0,95.0,98.72249197860963,6.0,6,16.453748663101603,15.833333333333334,0.10368904711654563,0.16761468602438695,12.925930267968216
aamer yamin,120.0,80.0,85.55154040404041,5.0,7,17.110308080808082,16.0,0.082023622661757,0.1826048767276966,12.225612428813285
zeeshan ashraf,40.0,98.0,85.09540582293523,5.0,5,17.019081164587046,19.6,0.08127330866567248,0.1805220357318196,12.097279949213132
junaid ali,31.0,81.0,56.30703743315509,3.0,5,18.769012477718363,27.0,0.05,0.22047547085756275,11.81901883430251
shan masood,3.0,131.0,108.74894805194805,8.0,8,13.593618506493506,16.375,0.120181965291539,0.10231382318152168,11.303470844753207
nisar ahmed,441.0,87.0,91.4921212121212,6.0,7,15.248686868686868,14.5,0.09179552137282271,0.14010140143751482,11.111787339869956
amad butt,92.0,81.0,95.45078904906894,7.0,7,13.63582700700985,11.571428571428571,0.09830729225569439,0.1032775036268513,10.029537680415714
azam khan,32.0,66.0,85.34654285714286,6.0,6,14.224423809523811,11.0,0.08168641400674219,0.11671601060595165,9.569825264642597
arafat minhas,93.0,57.0,63.66906421356421,4.0,6,15.917266053391053,14.25,0.05,0.15536602061545418,9.214640824618167
haseebullah,417.0,82.0,74.3134261072261,5.0,5,14.862685221445222,16.4,0.06353759946643799,0.1312884316622024,9.063793234474375
sajjad ali hashmi,127.0,92.0,73.67191551882462,5.0,5,14.734383103764923,18.4,0.0624823530697543,0.12835911078156584,8.883305615447892
saqib khan,47.0,41.0,42.32050000000001,3.0,5,14.106833333333336,13.666666666666666,0.05,0.11403125182334858,7.561250072933944
sarwar afridi,429.0,94.0,90.29847222222223,8.0,8,11.287309027777779,11.75,0.08983204046031795,0.05,7.389922427619077
sharjeel khan,77.0,91.0,83.5376043708285,7.0,7,11.93394348154693,13.0,0.07871081881935459,0.06442106822512,7.299491858166075
ubaid shah,11.0,44.0,52.93372727272727,4.0,8,13.233431818181817,11.0,0.05,0.09409024584643948,6.763609833857579
faisal akram,119.0,11.0,11.572828282828283,1.0,5,11.572828282828283,11.0,0.05,0.05617629166922863,5.247051666769146
muhammad rameez jr,444.0,42.0,34.43460636669728,3.0,5,11.478202122232426,14.0,0.05,0.05401584106171327,5.160633642468531
sharoon siraj,118.0,60.0,50.52218181818183,6.0,7,8.420363636363637,10.0,0.05,0.05,5.0
zaman khan,20.0,23.0,21.471555555555554,2.0,5,10.735777777777777,11.5,0.05,0.05,5.0
shaheen shah afridi,113.0,31.0,37.41360606060606,5.0,7,7.482721212121211,6.2,0.05,0.05,5.0
salman irshad,73.0,16.0,18.655131313131314,3.0,6,6.218377104377105,5.333333333333333,0.05,0.05,5.0
abrar ahmed,1.0,15.0,17.17939393939394,4.0,6,4.294848484848485,3.75,0.05,0.05,5.0
umar amin,51.0,45.0,50.15670255183413,5.0,5,10.031340510366826,9.0,0.05,0.05,5.0
sameen gull,60.0,22.0,19.780925925925928,6.0,7,3.2968209876543213,3.6666666666666665,0.05,0.05,5.0
ghazi ghori,69.0,63.0,63.07166161616162,7.0,7,9.010237373737374,9.0,0.05,0.05,5.0
shayan sheikh,70.0,29.0,35.49552777777778,6.0,7,5.915921296296297,4.833333333333333,0.05,0.05,5.0
akif javed,437.0,17.0,15.925782828282829,2.0,5,7.962891414141414,8.5,0.05,0.05,5.0
naseem shah,435.0,19.0,24.829883116883114,6.0,8,4.1383138528138526,3.1666666666666665,0.05,0.05,5.0
